t,n_dimers,maxpair_PS2_01,dstar_eff_01,maxpair_PS2_23,dstar_eff_23,maxpair_PS2_45,dstar_eff_45,maxpair_PS2_67,dstar_eff_67
0.0,2219,1.0,3.4657359027997265,1.0,3.4657359027997265,1.0,3.4657359027997265,1.0,3.4657359027997265
0.5,2205,1.0,3.4657359027997265,1.0,3.4657359027997265,1.0,3.4657359027997265,1.0,3.4657359027997265
1.0,2193,1.0,3.4657359027997265,0.9998165420258404,3.4648185287765654,0.9999953100416735,3.4657124529531047,1.0,3.4657359027997265
1.5,2177,1.0,3.4657359027997265,0.9996885932620814,3.4641786266244,1.0,3.4657359027997265,1.0,3.4657359027997265
2.0,2164,0.9991872621302542,3.4616705611985927,0.9998641018890134,3.4650563660698683,1.0,3.4657359027997265,0.9996801517077691,3.4641364055266983
2.5,2152,0.9988704845137722,3.460085133451731,0.9999390292878676,3.465431039945117,0.9994921796520316,3.4631961561377747,0.9996415391960533,3.4639432774678354
3.0,2139,0.9989047022976174,3.4602564129033646,0.9996320468413602,3.463895798449659,0.9998426401971371,3.464949041873648,0.9995410785524252,3.4634407688784714
3.5,2128,0.9987073249995879,3.4592683466724115,0.9993211533985886,3.4623405171892423,0.9983735448699186,3.4575970065789132,0.9993406379541153,3.462438005196526
4.0,2114,0.9999069904512965,3.4652708334279274,0.9998095122128442,3.464783373138433,0.9997626930744201,3.4645492273631078,0.998935316534868,3.460409649583802
4.5,2101,0.9989469058178793,3.4604676574227113,0.9995531010330397,3.4635009085194017,0.9968868466009347,3.4501458560901073,0.9984700680844013,3.458080385517212
5.0,2087,0.9976434090766255,3.453939042529984,0.9997639677448137,3.464555602223811,0.9995465180780363,3.4634679789197937,0.9986546591592176,3.459004669678456
5.5,2075,0.9971117687765867,3.451273851741013,0.9979889797492418,3.455670677464381,0.998455603827226,3.458007952890505,0.9965682782814395,3.448547784890857
6.0,2061,0.9963863682291997,3.4476350192488314,0.9996198040064713,3.463834561367978,0.9944611135320619,3.437964487905088,0.9962625257375766,3.4470135224454683
6.5,2050,0.9968819710366259,3.4501214020798643,0.9970962296630703,3.451195930513494,0.9957067165567738,3.4442232725589452,1.0,3.4657359027997265
7.0,2038,0.9950413209778437,3.440880832475301,0.9975162804667664,3.453301857392888,0.9988306561479043,3.4598857624594315,0.9967614277804371,3.449516764076863
7.5,2024,0.9967787584528152,3.4496036982279685,0.9983815397106863,3.4576370457446046,0.9995576456622952,3.46352364177349,0.9966169108992047,3.448791779367832
8.0,2012,0.9937750041945915,3.4345136434174144,0.9971133928537729,3.4512819956417995,0.9944747305826087,3.4380329519060124,0.9976486594638798,3.4539653564082236
8.5,2000,0.9988212770487098,3.459838811841865,0.9927559969620585,3.4293840616423727,0.9938614060981386,3.4349483401413927,0.9975246198375751,3.453343657893356
9.0,1987,0.9926467801437683,3.4288339625911384,0.9914718153873209,3.4229121144897166,0.9883151897636583,3.4069678321483576,0.9993579058159158,3.4625244007255302
9.5,1975,0.9869155999834208,3.39988212843346,0.993141852027579,3.431327037060632,0.9922264861478622,3.4267164772618464,0.9989044456068298,3.4602551280419562
10.0,1963,0.9936256993900892,3.4337623867407214,0.9961568252840968,3.446483009360837,0.9922190382510842,3.4266789458875326,0.9966934135701119,3.4491755764615695
10.5,1951,0.9956345231398256,3.443860735915096,0.9904280215567296,3.4176454813953425,0.9905180049884185,3.4180997261377284,0.9897384911028493,3.4141632970570965
11.0,1941,0.9891046403804274,3.4109601591528578,0.9952703729041323,3.4420316669300446,0.9851411837218191,3.3908843310316747,0.9867599317239435,3.399093405782248
11.5,1928,0.9835041982723495,3.382569040519048,0.9863029654495572,3.3967773808688433,0.9810693416493741,3.370175216515012,0.9860381134712677,3.395434550347733
12.0,1917,0.985794962699719,3.3942014298786654,0.9924705215317514,3.427946062353045,0.9880985837666402,3.4058718774409664,0.9861401458040252,3.3959519089200056
12.5,1905,0.9931499671568945,3.4313678927357,0.9885030684915624,3.4079182418670317,0.9760541715817985,3.3445499506025227,0.9903560104222895,3.417281932753445
13.0,1893,0.990340377283441,3.4172030052663964,0.9909310398140637,3.420184235112163,0.9754805458306856,3.3416105933750293,0.9796686790781713,3.3630316675316694
13.5,1881,0.9911439479022222,3.421258402791473,0.9849505696272601,3.389916791855747,0.9719824732579543,3.3236483712402825,0.9744439304697539,3.3362944107680303
14.0,1871,0.9835765577421435,3.382936892573954,0.9937243183942717,3.4342586204357466,0.9716245733405312,3.321806950043057,0.976143919530223,3.3450096782751206
14.5,1859,0.9846634601658955,3.3884590978149083,0.9994557378895387,3.4630138514254947,0.9709653580469899,3.318413463295316,0.9668531940715971,3.2971928482720356
15.0,1828,0.9834179775595869,3.3821306870657333,0.9913870142523775,3.422484443423439,0.9721797304912301,3.3246629842883726,0.9642034650475303,3.283471186224685
